target,model,feature,importance
danceability,random_forest,acousticness,0.07544594798805059
danceability,random_forest,duration_ms,0.04222145971501924
danceability,random_forest,energy,0.07927807453393033
danceability,random_forest,instrumentalness,0.025813072599134103
danceability,random_forest,key,0.010783770636127602
danceability,random_forest,liveness,0.04540339430086089
danceability,random_forest,loudness,0.2516758074540048
danceability,random_forest,mode,0.0030213244540724933
danceability,random_forest,speechiness,0.11032054753868509
danceability,random_forest,tempo,0.12179001169151563
danceability,random_forest,time_signature,0.017123795824732373
danceability,random_forest,valence,0.19372809541503216
danceability,random_forest,popularity,0.02339469784883464
danceability,xgboost,acousticness,0.1097283586859703
danceability,xgboost,duration_ms,0.026524221524596214
danceability,xgboost,energy,0.08321454375982285
danceability,xgboost,instrumentalness,0.018233880400657654
danceability,xgboost,key,0.008708460256457329
danceability,xgboost,liveness,0.045505933463573456
danceability,xgboost,loudness,0.14444315433502197
danceability,xgboost,mode,0.012940878979861736
danceability,xgboost,speechiness,0.08904983103275299
danceability,xgboost,tempo,0.0817728340625763
danceability,xgboost,time_signature,0.14641132950782776
danceability,xgboost,valence,0.2101130336523056
danceability,xgboost,popularity,0.023353585973381996
energy,random_forest,acousticness,0.14607641518175093
energy,random_forest,danceability,0.022897579902541234
energy,random_forest,duration_ms,0.01179273032586597
energy,random_forest,instrumentalness,0.020435483716665006
energy,random_forest,key,0.004645300656433376
energy,random_forest,liveness,0.017341580726218213
energy,random_forest,loudness,0.6673566215908369
energy,random_forest,mode,0.00120119847246604
energy,random_forest,speechiness,0.028429832954966455
energy,random_forest,tempo,0.014087033225502154
energy,random_forest,time_signature,0.0008771603260854318
energy,random_forest,valence,0.05467400421190515
energy,random_forest,popularity,0.010185058708763023
energy,xgboost,acousticness,0.19474129378795624
energy,xgboost,danceability,0.03448506072163582
energy,xgboost,duration_ms,0.015333727933466434
energy,xgboost,instrumentalness,0.026029685512185097
energy,xgboost,key,0.0033625420182943344
energy,xgboost,liveness,0.03356119245290756
energy,xgboost,loudness,0.5526477098464966
energy,xgboost,mode,0.0054008024744689465
energy,xgboost,speechiness,0.03868330642580986
energy,xgboost,tempo,0.016553135588765144
energy,xgboost,time_signature,0.01407324057072401
energy,xgboost,valence,0.05377356708049774
energy,xgboost,popularity,0.01135476864874363
