target,model,split,mse,mae,r2,n_features
danceability,random_forest,validation,0.012574451753282909,0.08713415811294702,0.643669919208804,13
danceability,random_forest,test,0.01259108615850342,0.08706475382525408,0.6428388485950749,13
danceability,xgboost,validation,0.011911002514041716,0.08523587101449046,0.6624704940297261,13
danceability,xgboost,test,0.01187391590933613,0.08496108797040133,0.6631822366651309,13
energy,random_forest,validation,0.01069215650693074,0.07756682285437205,0.8428189194519904,13
energy,random_forest,test,0.010674602238834135,0.07787536669596518,0.8427306954969753,13
energy,xgboost,validation,0.010233702633991022,0.07595929626324328,0.8495584649387569,13
energy,xgboost,test,0.010175940497454518,0.07642114371198366,0.8500774971383267,13
valence,random_forest,validation,0.03677844774407385,0.15327108948659487,0.4514819831135697,13
valence,random_forest,test,0.037668040508475546,0.154656916429236,0.43791030292242483,13
valence,xgboost,validation,0.036087597028078164,0.15194284403051392,0.46178541047242505,13
valence,xgboost,test,0.036810162018009844,0.15269388590260127,0.45071172965782225,13
acousticness,random_forest,validation,0.04054924228667902,0.14902570546156946,0.6587310008367752,13
acousticness,random_forest,test,0.04101999832542388,0.1499559473133006,0.6581427844306856,13
acousticness,xgboost,validation,0.03986665627920024,0.14855823929938294,0.6644757553741893,13
acousticness,xgboost,test,0.04020073222267636,0.1490821063600775,0.6649704792168651,13
loudness,random_forest,validation,6.40641315951257,1.7748043724339106,0.8480728920868534,13
loudness,random_forest,test,6.153412972910536,1.7582923541405808,0.8551711088805537,13
loudness,xgboost,validation,6.136501601972299,1.757780481822848,0.8544738033781486,13
loudness,xgboost,test,6.007386092454351,1.7531045513759242,0.8586080488784388,13
tempo,random_forest,validation,764.3545853833615,21.899405378598978,0.13581747622786078,13
tempo,random_forest,test,771.7359489561168,22.022227270061478,0.13165653289289003,13
tempo,xgboost,validation,765.2870450845022,22.012753427197676,0.13476323334993867,13
tempo,xgboost,test,773.7256710888976,22.121462395998666,0.12941773318724514,13
